table	downstream_files	total_mentions	files
hlb_mart.mart_home_action_fb	4	4	mart/queries.py,mart_adhoc/adhoc_mart_user_key_actions_for_targeting.sql,mart_integrated/union_mart_use_skill_from_home_banner.sql,mart_integrated/union_mart_user_key_actions.sql
hlb_staging.staging_marketing_utm_fb	3	4	mart_adhoc/adhoc_mart_user_acquisition_with_utm.sql,staging/queries.py,staging/staging_marketing_utm_first_fb.sql
hlb_staging.staging_key_events_fb	3	4	intermediate/intermediate_key_metrics_fb.sql,intermediate/intermediate_user_daily_info_temp_fb.sql,staging/queries.py
hlb_staging.staging_key_events_se	3	4	intermediate/intermediate_key_metrics_se.sql,intermediate/intermediate_user_daily_info_temp_se.sql,staging/queries.py
hlb_intermediate.intermediate_marketing_utm_first_fb	3	4	intermediate/queries.py,mart/mart_marketing_utm_first_fb.sql,report/report_skill_referral_mkt_daily.sql
hlb_intermediate.intermediate_user_daily_info_temp_se	3	4	intermediate/intermediate_user_daily_info.sql,intermediate/intermediate_user_first_info_se.sql,intermediate/queries.py
hlb_staging.staging_utm_sources_to_except	3	3	mart_adhoc/adhoc_mart_acquisition_with_utm.sql,mart_adhoc/adhoc_mart_acquisition_with_utm_menu_seq.sql,staging/staging_marketing_utm_fb.sql
hlb_staging.staging_block_copy_server	3	3	mart/mart_skill_funnel_fb.sql,mart/mart_use_skill_se.sql,staging/queries.py
hlb_intermediate.intermediate_key_metrics_fb	2	5	intermediate/intermediate_v2_metrics_fb.sql,intermediate/queries.py
hlb_report.report_crm_optin_total_weekly	2	3	kpi_noti/queries.py,report/queries.py
hlb_report.report_crm_optin_new_weekly	2	3	kpi_noti/queries.py,report/queries.py
hlb_staging.staging_marketing_utm_first_fb	2	3	intermediate/intermediate_marketing_utm_first_fb.sql,staging/queries.py
hlb_mart_adhoc.adhoc_mart_user_rfm_info_daily	2	3	mart_adhoc/queries.py,mart_integrated/union_mart_user_key_actions.sql
hlb_intermediate.intermediate_key_metrics_se	2	3	intermediate/intermediate_use_skill_se.sql,intermediate/queries.py
hlb_intermediate.intermediate_randombox_metrics_fb	2	3	intermediate/queries.py,mart/mart_randombox_metrics_fb.sql
hlb_intermediate.intermediate_v2_skill_funnel_fb	2	3	intermediate/queries.py,mart/mart_v2_skill_funnel_fb.sql
hlb_intermediate.intermediate_use_skill_se	2	3	intermediate/queries.py,mart/mart_use_skill_se.sql
hlb_intermediate.intermediate_home_action_fb	2	3	intermediate/queries.py,mart/mart_home_action_fb.sql
hlb_intermediate.intermediate_relation_fb	2	3	intermediate/queries.py,mart/mart_relation_fb.sql
hlb_intermediate.intermediate_exhibition_fb	2	3	intermediate/queries.py,mart/mart_exhibition_fb.sql
hlb_intermediate.intermediate_ai_chatbot_fb	2	3	intermediate/queries.py,mart/mart_ai_chatbot_fb.sql
hlb_mart_integrated.union_mart_user_key_actions	2	2	kpi_noti/queries.py,mart_integrated/queries.py
hlb_report.report_kpi_total_skill_monthly	2	2	kpi_noti/queries.py,report/queries.py
hlb_report.report_kpi_total_skill_weekly	2	2	kpi_noti/queries.py,report/queries.py
hlb_staging.staging_coin_product_copy	2	2	mart/mart_purchase_fb.sql,staging/queries.py
hlb_staging.staging_payment_copy_server	2	2	mart/mart_purchase_fb.sql,staging/queries.py
hlb_staging.staging_fixed_menu_evaluation_server	2	2	mart/mart_fixed_menu_evaluation_server.sql,staging/queries.py
hlb_mart.mart_exhibition_fb	2	2	mart/queries.py,mart_integrated/union_mart_use_skill_from_exhibition_page.sql
hlb_report.report_revenue_monthly_app	2	2	report/queries.py,report/report_dashboard_ir_monthly_app.sql
hlb_report.report_activation_monthly_app	2	2	report/queries.py,report/report_dashboard_ir_monthly_app.sql
hlb_report.report_revenue_monthly_web	2	2	report/queries.py,report/report_dashboard_ir_monthly_web.sql
hlb_report.report_activation_monthly_web	2	2	report/queries.py,report/report_dashboard_ir_monthly_web.sql
hlb_report.report_activation_monthly	2	2	report/queries.py,report/report_dashboard_ir_monthly.sql
hlb_report.report_revenue_monthly	2	2	report/queries.py,report/report_dashboard_ir_monthly.sql
hlb_intermediate.intermediate_user_first_info_fb	2	2	intermediate/intermediate_user_first_info.sql,intermediate/queries.py
hlb_intermediate.intermediate_user_first_info_se	2	2	intermediate/intermediate_user_first_info.sql,intermediate/queries.py
hlb_mart.mart_marketing_utm_first_fb	1	3	mart/queries.py
hlb_mart_adhoc.adhoc_mart_acquisition_with_utm	1	2	mart_adhoc/queries.py
hlb_mart_adhoc.adhoc_mart_acquisition_with_utm_menu_seq	1	2	mart_adhoc/queries.py
hlb_report.report_skill_referral_mkt_daily	1	2	report/queries.py
hlb_report.report_key_metrics_by_daily	1	2	report/queries.py
hlb_report.report_key_metrics_kr_by_daily	1	2	report/queries.py
hlb_report.report_key_metrics_by_platform_daily	1	2	report/queries.py
hlb_report.report_key_metrics_by_monthly	1	2	report/queries.py
hlb_report.report_key_metrics_new_user_by_platform_daily	1	2	report/queries.py
hlb_report.report_chatbot_info_daily	1	2	report/queries.py
hlb_report.report_skill_info_daily	1	2	report/queries.py
hlb_report.report_key_metrics_by_weekly	1	2	report/queries.py
hlb_report.report_cohort_retention_visit_monthly	1	2	report/queries.py
hlb_report.report_cohort_retention_visit_monthly_app	1	2	report/queries.py
hlb_report.report_cohort_retention_visit_monthly_web	1	2	report/queries.py
hlb_report.report_crm_optin_total	1	2	report/queries.py
hlb_report.report_crm_optin_total_daily	1	2	report/queries.py
hlb_report.report_crm_optin_new_daily	1	2	report/queries.py
hlb_mart.mart_session_start_fb	1	2	mart/queries.py
hlb_mart.mart_randombox_metrics_fb	1	2	mart/queries.py
hlb_staging.staging_key_events_se_events_list	1	1	staging/staging_key_events_se.sql
hlb_staging.staging_original_chatbot_list	1	1	staging/staging_chatbot_server.sql
hlb_mart_integrated.union_mart_use_skill_and_user_daily	1	1	mart_integrated/queries.py
hlb_mart_integrated.union_mart_use_skill_from_home_banner	1	1	mart_integrated/queries.py
hlb_mart_integrated.union_mart_use_skill_from_search_result	1	1	mart_integrated/queries.py
hlb_mart_integrated.union_mart_use_skill_from_exhibition_page	1	1	mart_integrated/queries.py
hlb_mart_adhoc.adhoc_home_section_order_	1	1	mart_adhoc/adhoc_home_section_order.sql
hlb_mart_adhoc.adhoc_mart_user_acquisition_with_utm	1	1	mart_adhoc/queries.py
hlb_mart_adhoc.adhoc_mart_user_key_actions_for_targeting	1	1	mart_adhoc/queries.py
hlb_mart_adhoc.adhoc_banner_order_	1	1	mart_adhoc/adhoc_banner_order.sql
hlb_pre_report.pre_report_hlb_okr_metrics_revenue	1	1	pre_report/queries.py
hlb_staging.staging_currency_rate_sheet	1	1	pre_report/pre_report_hlb_okr_metrics_revenue.sql
hlb_report.pre_report_cohort_retention_visit	1	1	report/report_cohort_retention_visit_daily.sql
hlb_report.report_dashboard_ir_monthly	1	1	report/queries.py
hlb_report.report_dashboard_ir_monthly_app	1	1	report/queries.py
hlb_report.report_dashboard_ir_monthly_web	1	1	report/queries.py
hlb_report.report_cohort_retention_visit_daily	1	1	report/queries.py
hlb_report.report_cohort_retention_visit_daily_app	1	1	report/queries.py
hlb_report.report_cohort_retention_visit_daily_web	1	1	report/queries.py
hlb_report.report_pay_for_skill_with_target_info	1	1	report/queries.py
hlb_report.report_kpi_total_skill_monthly_platform_app	1	1	report/queries.py
hlb_report.report_kpi_total_skill_weekly_platform_app	1	1	report/queries.py
hlb_report.report_kpi_total_skill_monthly_platform_web	1	1	report/queries.py
hlb_report.report_kpi_total_skill_weekly_platform_web	1	1	report/queries.py
hlb_report.report_cohort_retention_pay_by_platform_weekly_purchase_user	1	1	report/queries.py
hlb_report.report_cohort_retention_pay_by_platform_yearly	1	1	report/queries.py
hlb_report.report_cohort_retention_pay_by_platform_yearly_purchase_user	1	1	report/queries.py
hlb_report.report_braze_crm_monthly	1	1	report/queries.py
hlb_report.report_braze_crm_weekly	1	1	report/queries.py
hlb_report.report_braze_crm_daily	1	1	report/queries.py
hlb_report.report_crm_optin_total_monthly	1	1	report/queries.py
hlb_report.report_crm_optin_new	1	1	report/queries.py
hlb_mart.mart_user_server_types_list	1	1	mart/mart_user_server.sql
hlb_mart.mart_v2_metrics_lv1_fb	1	1	mart/queries.py
hlb_mart.mart_v2_metrics_lv2_fb	1	1	mart/queries.py
hlb_mart.mart_relation_fb	1	1	mart/queries.py
hlb_mart.mart_ai_chatbot_fb	1	1	mart/queries.py
