판매중,챗봇ID,챗봇,콘텐츠 타입,스킬ID,스킬,주제,topic,intents,temporal,웹 정상가,웹 판매가,앱 정상가,앱 판매가,앱 정상가(하트 가격),앱 판매가(하트 가격),판매종료 여부,출시일,ARPPU,인당 구매 횟수,건당 구매 금액,진입 사용자수,구매횟수,구매자수,구매 전환율,매출,앱 매출,웹 매출,판매일수,평균 일 거래액,앱 판매일수,앱 평균 일 거래액,웹 판매일수,웹 평균 일 거래액,앱 노출여부,웹 노출여부
,52,판밍밍,사주,18570,내 인생 언제 필까?: 3번의 기회🔑,팔자,일반운세,-,-,18000,17250,18000,17250,120,115,FALSE,2021. 3. 1.,"₩11,847",1.07,"₩11,111","264,952","81,232","76,189",29%,"₩902,573,399","₩334,387,800","₩568,185,599","1,606","₩501,430","1,547","₩216,152","1,323","₩429,468",노출,노출
,52,판밍밍,사주,55360,2026년 신년운세 보고서,신년운세,총운,-,신년운세,37500,33750,37500,33750,250,225,FALSE,2025. 9. 3.,"₩33,622",1.06,"₩31,798","44,552","13,201","12,485",28%,"₩419,764,735","₩328,512,600","₩91,252,135",216,"₩1,934,400",216,"₩1,520,892",211,"₩432,475",노출,노출
,27,라마마,타로,31435,지금 날 간절히 원하는 사람 누구일까?,연애,연애,-,-,18000,17400,18000,17400,120,116,FALSE,2023. 7. 21.,"₩19,172",1.29,"₩14,872","98,807","33,987","26,365",27%,"₩505,465,710","₩320,326,650","₩185,139,060",992,"₩509,542",992,"₩322,910",888,"₩208,490",노출,노출
,52,판밍밍,사주,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,결혼,궁합,-,21000,19500,21000,19500,140,130,FALSE,2023. 4. 27.,"₩20,339",1.12,"₩18,193","133,918","51,788","46,322",35%,"₩942,154,180","₩300,319,200","₩641,834,980","1,053","₩879,696","1,051","₩285,746",994,"₩645,709",노출,노출
,27,라마마,타로,2141,그 사람의 속마음,연애,연애,속마음,-,1500,,1500,,10,,FALSE,2021. 3. 1.,"₩2,635",3.40,₩775,"395,433","364,058","107,097",27%,"₩282,226,250","₩263,789,100","₩17,628,750","1,842","₩151,409","1,842","₩143,208","1,763","₩9,999",노출,노출
,52,판밍밍,사주,26502,사주로 보는 결혼수: 나는 언제 결혼할까?,결혼,결혼,결혼시기,-,27000,24000,27000,24000,180,160,FALSE,2023. 3. 31.,"₩19,334",1.06,"₩18,241","116,457","32,562","30,722",26%,"₩593,969,100","₩254,749,500","₩339,219,600","1,001","₩547,437",981,"₩259,683",820,"₩413,682",노출,노출
,6167,독산언니,사주,42952,내 사주에 쓰인 운명의 배우자,연애,연애,-,-,18000,16500,18000,16500,120,110,FALSE,2024. 8. 7.,"₩16,764",1.05,"₩15,979","97,360","33,612","32,038",33%,"₩537,072,900","₩253,141,950","₩283,930,950",604,"₩881,893",604,"₩419,109",543,"₩522,893",노출,노출
,10127,"인연 사주의 대가, 비단할매",사주,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,연애,-,-,24000,19500,24000,19500,160,130,FALSE,2025. 3. 20.,"₩19,769",1.04,"₩18,929","88,535","50,076","47,948",54%,"₩947,867,225","₩235,570,200","₩712,297,025",384,"₩2,468,404",384,"₩613,464",384,"₩1,854,940",노출,노출
,6167,독산언니,사주,30875,내 사주 배우자 궁(宮)에 있는 사람은?,연애,연애,-,-,27000,22500,27000,22500,180,150,FALSE,2023. 7. 4.,"₩20,562",1.03,"₩19,917","87,806","27,297","26,441",30%,"₩543,667,775","₩235,344,900","₩308,322,875",911,"₩538,818",899,"₩261,785",668,"₩461,561",노출,노출
,52,판밍밍,사주,21799,월지로 보는 인연: 배우자가 될 3명의 후보,연애,연애,-,-,18000,17250,18000,17250,120,115,FALSE,2022. 7. 5.,"₩12,910",1.08,"₩11,907","65,491","28,517","26,301",40%,"₩339,558,011","₩226,931,850","₩112,626,161","1,013","₩298,381",991,"₩228,993",862,"₩130,657",노출,노출
