age_group,menu_seq,menu_name,topic,content_type,buyers,revenue_krw,price_amount,open_date,is_open,is_stop_selling
26-35,2250,면접 합격할 수 있을까?,학업직업,타로,294,952350.0,1500,,true,false
26-35,36042,사주로 보는 그 사람의 '진짜' 속마음🚨,연애,사주,293,6272850.0,21000,2023-11-15 16:00:00+00,true,false
26-35,43249,"사주 직업 컨설팅: 사업, 직장, 업종",학업직업,사주,288,4546200.0,18000,2024-08-22 15:00:00+00,true,false
26-35,53710,내 사주 일복: 평생 일할 팔자 vs 놀고먹는 팔자,일반운세,사주,285,4959600.0,19500,2025-07-24 15:00:00+00,true,false
26-35,2303,그 사람과 나의 전생 관계,연애,점성학,280,191250.0,1500,,true,false
26-35,35527,사주 궁합으로 보는 우리의 현재와 미래,연애,사주,279,5670600.0,21000,2023-10-31 16:00:00+00,true,false
26-35,2170,우리가 헤어진다면,연애,타로,277,504000.0,1500,,true,false
26-35,51499,[창광] 25년 하반기 운세 통합편,총운,사주,276,1.57383E7,66000,2025-06-25 15:00:00+00,false,true
26-35,2351,퇴사할까 말까,학업직업,타로,272,219300.0,1500,,true,false
26-35,2196,헤어진 사람 잊는 법,연애,타로,271,217350.0,1500,,true,false
26-35,44274,🔋질문권 충전 (5개),기타,,269,1105050.0,4500,,false,false
26-35,2441,우리 커플 스킨십 궁합은?,연애,타로,268,191250.0,1500,,true,false
26-35,49917,연애 무물 타로: 7카드 스프레드,연애,,262,4872450.0,25800,,false,false
26-35,55492,재회 타로 즉문즉답: 그 사람 속마음·재회 가능성,연애,타로,258,5561550.0,25800,2025-09-11 15:00:00+00,true,false
26-35,48925,{{이름}}[[이의/의]] 연애 O X : 직진해도 될까?,연애,타로,256,4648200.0,16500,2025-04-23 15:00:00+00,true,false
26-35,2151,우리가 헤어진 이유,연애,타로,256,191250.0,1500,,true,false
26-35,27706,비로소 만나게 될 나의 운명,연애,타로,250,3692550.0,15000,2023-06-06 16:00:00+00,true,false
26-35,540,직장사람 속마음,연애,타로,247,288900.0,1500,,true,false
26-35,2128,연애운 높이는 노하우,연애,타로,246,160350.0,1500,,true,false
26-35,59782,"★{{시스템_생년}}★년생이면 꼭 봐야 할, 3번의 기회",일반운세,사주,245,4124550.0,19500,2026-04-01 15:00:00+00,true,false
26-35,2240,연애할 때 내 매력은 뭘까?,연애,타로,243,163950.0,1500,,true,false
26-35,60244,연애 상대 스포: 내 사주 존잘/존예,,사주,240,4195200.0,19500,2026-04-29 15:00:00+00,true,false
26-35,53974,이 3번의 기회로: 상위 N% 부자가 됩니다,재물금전,사주,238,4167150.0,19500,2025-08-07 15:00:00+00,true,false
26-35,43415,[히든스킬] 내 사주에 쓰인 운명의 배우자,결혼,사주,236,3834900.0,18000,,false,false
26-35,59452,추가조언_고민 OX 타로,기타,,235,60900.0,150,,false,false
26-35,59419,최고의 선택일까?: 결혼 궁합 진단,결혼,사주,232,4274850.0,19500,2026-03-18 15:00:00+00,true,false
26-35,2326,그 사람과 나의 속궁합,연애,사주,230,5077800.0,21000,2021-03-04 15:00:00+00,true,false
26-35,24509,내 사주의 연애와 결혼: 운명의 두 사람,연애,사주,230,3745950.0,18000,2022-12-11 15:00:00+00,true,false
26-35,50774,[창광] 25년 하반기: 재물운과 문서운,재물금전,사주,226,3781800.0,20250,2025-06-12 02:00:00+00,false,true
26-35,18144,그 사람 손절할까 말까?,연애,타로,224,238350.0,1500,2020-06-10 15:00:00+00,true,false
26-35,23186,이번 주에 고백하면 성공할까?,연애,타로,224,179850.0,1500,2022-09-26 15:00:00+00,true,false
26-35,2265,내 연애가 유독 힘든 이유,연애,타로,224,154950.0,1500,,true,false
26-35,2219,다른 사람이 보는 내 매력과 장점은?,일반운세,타로,223,250050.0,1500,,true,false
26-35,16379,썸 어떻게 될까?,연애,타로,217,1327350.0,9000,,true,false
26-35,18725,헤어진 연인과의 재회 확률,연애,,217,640950.0,6000,2021-01-15 02:25:00+00,true,false
26-35,2127,이 주의 금전운,재물금전,타로,216,158250.0,1500,,true,false
26-35,17147,지원한 회사에 합격할 수 있을까?,학업직업,타로,215,2998500.0,9000,2020-03-26 15:00:00+00,true,false
26-35,23883,선택 타로: 이 사람 계속 만나도 될까?,연애,타로,215,1648650.0,15000,2022-10-31 15:00:00+00,true,false
26-35,28378,"[1단계 생각 정리] 미련일까, 사랑일까?",연애,타로,215,442950.0,6000,2023-05-22 15:00:00+00,true,false
26-35,537,나에게 어울리는 직업은?,학업직업,타로,212,148200.0,1500,,true,false
26-35,2272,나는 어떤 타입과 어울릴까?,일반운세,타로,211,137850.0,1500,,true,false
26-35,59353,시기로 보는 연애운: 똥차 시기 & 꽃길 시기,연애,사주,209,3646950.0,19500,2026-03-11 15:00:00+00,true,false
26-35,46384,이번 달 임신 확률은?,가족자녀,타로,207,3569700.0,18000,2025-01-08 15:00:00+00,true,false
26-35,18668,사주로 보는 성격유형,자기탐구,사주,206,152400.0,9900,,true,false
26-35,2237,그 사람의 변심 이유,연애,타로,206,1023450.0,1500,,true,false
26-35,2263,내 애인 바람기,연애,타로,204,395100.0,1500,,true,false
26-35,43685,[창광] 25년 을사년 직업운과 합격운,학업직업,사주,203,2303550.0,18000,2024-10-16 15:00:00+00,false,true
26-35,43683,[창광] 25년 을사년 사랑운과 인연운,연애,사주,202,3349950.0,18000,2024-10-03 15:00:00+00,false,true
26-35,536,시험 잘 볼 수 있을까,학업직업,타로,200,424650.0,1500,,true,false
26-35,34075,"불안한 사랑, 우리 관계의 미래는?",연애,사주,197,1.18182E7,49500,,true,false
26-35,453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세,사주,196,3151350.0,18000,,true,false
26-35,44866,"솔로 n년, 연애하고 싶다! 연애 슬럼프 탈출",연애,사주,196,3336000.0,18000,2024-12-04 15:00:00+00,true,false
26-35,2395,내 첫인상 어떨까?,일반운세,타로,195,165300.0,1500,,true,false
26-35,2363,그 사람이 바라는 내 모습은?,연애,타로,193,420300.0,1500,,true,false
26-35,2248,서류 합격할 수 있을까?,학업직업,타로,188,808350.0,1500,,true,false
26-35,60013,내 운이 트이는 동네: 전국편,,사주,187,3185850.0,19500,2026-04-15 15:00:00+00,true,false
26-35,2449,그 사람과 가까워지는 법,연애,타로,187,316950.0,1500,,true,false
26-35,11273,둘 중 누구를 만날까?,일반운세,타로,185,137100.0,1500,,true,false
26-35,58957,임신 궁합: 택일과 길일,가족자녀,사주,184,5372400.0,31500,2026-02-11 15:00:00+00,true,false
26-35,43216,2025년 신년운세 보고서,총운,사주,184,3680100.0,37500,2024-09-04 15:00:00+00,false,true
26-35,2216,그 회사가 나랑 잘 어울릴까?,일반운세,타로,184,476250.0,1500,,true,false
26-35,47638,"🏆재물, 커리어, 학업: 황금 타이밍",재물금전,사주,182,3122550.0,18000,2025-02-26 15:00:00+00,true,false
